"global_id";"ObjectName";"NameWinter";"PhotoWinter";"AdmArea";"District";"Address";"Email";"WebSite";"HelpPhone";"HelpPhoneExtension";"WorkingHoursWinter";"ClarificationOfWorkingHoursWinter";"HasEquipmentRental";"EquipmentRentalComments";"HasTechService";"TechServiceComments";"HasDressingRoom";"HasEatery";"HasToilet";"HasWifi";"HasCashMachine";"HasFirstAidPost";"HasMusic";"UsagePeriodWinter";"DimensionsWinter";"Lighting";"SurfaceTypeWinter";"Seats";"Paid";"PaidComments";"DisabilityFriendly";"ServicesWinter";"geoData";"geodata_center";
"2644394346";"Дворовая территория";"Универсальная спортивная площадка";"nested data";"Северо-Восточный административный округ";"район Отрадное";"Алтуфьевское шоссе, дом 40А";"otrorg@svao.mos.ru";"otradnoe.mos.ru";"(495) 708-44-69";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"освещение светодиодными лампами";"заливное покрытие";"0";"бесплатно";"";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.588234261, 55.870770937], type=Point}";"{coordinates=[37.588234261, 55.870770937], type=Point}";
"2644394348";"Дворовая территория";"Универсальная спортивная площадка";"nested data";"Северо-Восточный административный округ";"район Отрадное";"Северный бульвар, дом 17";"otrorg@svao.mos.ru";"otradnoe.mos.ru";"(499) 907-21-08";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"без дополнительного освещения";"заливное покрытие";"0";"бесплатно";"";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.614836532, 55.8695062], type=Point}";"{coordinates=[37.614836532, 55.8695062], type=Point}";
"2644394349";"Дворовая территория";"Универсальная спортивная площадка";"nested data";"Северо-Восточный административный округ";"район Отрадное";"Алтуфьевское шоссе, дом 40";"mosportotr@mail.ru";"otradnoe.mos.ru";"(495) 708-44-69";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"освещение светодиодными лампами";"заливное покрытие";"0";"бесплатно";"";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.58793967, 55.871628101], type=Point}";"{coordinates=[37.58793967, 55.871628101], type=Point}";
"2644394351";"Дворовая территория";"Универсальная спортивная площадка";"nested data";"Северо-Восточный административный округ";"район Отрадное";"Алтуфьевское шоссе, дом 26В";"otrorg@svao.mos.ru";"otradnoe.mos.ru";"(499) 907-21-08";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"освещение газоразрядными лампами";"заливное покрытие";"0";"бесплатно";"";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.588848256, 55.864074442], type=Point}";"{coordinates=[37.588848256, 55.864074442], type=Point}";
"2644394352";"Дворовая территория";"Универсальная спортивная площадка";"nested data";"Северо-Восточный административный округ";"район Отрадное";"Алтуфьевское шоссе, дом 18Г";"otrorg@svao.mos.ru";"otradnoe.mos.ru";"(499) 907-21-08";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"освещение газоразрядными лампами";"заливное покрытие";"0";"бесплатно";"";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.58899163, 55.86052358], type=Point}";"{coordinates=[37.58899163, 55.86052358], type=Point}";
"2644394354";"Дворовая территория";"Универсальная спортивная площадка";"nested data";"Северо-Восточный административный округ";"район Отрадное";"Северный бульвар, дом 5А";"otrorg@svao.mos.ru";"otradnoe.mos.ru";"(499) 907-21-08";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"освещение светодиодными лампами";"заливное покрытие";"0";"бесплатно";"";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.603801431, 55.867982025], type=Point}";"{coordinates=[37.603801431, 55.867982025], type=Point}";
"2644394355";"Дворовая территория";"Универсальная спортивная площадка";"nested data";"Северо-Восточный административный округ";"Останкинский район";"улица Цандера, дом 7";"OstSpr@mos.ru";"ostankino.mos.ru";"(495) 615-67-68";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"освещение светодиодными лампами";"заливное покрытие";"0";"бесплатно";"";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.625784545, 55.818899854], type=Point}";"{coordinates=[37.625784545, 55.818899854], type=Point}";
"2644394356";"Дворовая территория";"Универсальная спортивная площадка";"nested data";"Восточный административный округ";"район Новокосино";"Новокосинская улица, дом 15, корпус 5";"upravanovokosino@mos.ru";"novokosino.mos.ru";"(495) 701-44-65";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"смешанное освещение";"специальное покрытие";"0";"бесплатно";"";"частично приспособлен";"общая физическая подготовка";"{coordinates=[37.853454872, 55.738620248], type=Point}";"{coordinates=[37.853454872, 55.738620248], type=Point}";
"2644394357";"Дворовая территория";"Универсальная спортивная площадка";"nested data";"Восточный административный округ";"район Новокосино";"Новокосинская улица, дом 12, корпус 1";"upravanovokosino@mos.ru";"novokosino.mos.ru";"(495) 701-44-65";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"смешанное освещение";"заливное покрытие";"0";"бесплатно";"";"частично приспособлен";"общая физическая подготовка";"{coordinates=[37.857184197, 55.736017422], type=Point}";"{coordinates=[37.857184197, 55.736017422], type=Point}";
"2644394358";"Дворовая территория";"Универсальная спортивная площадка";"nested data";"Восточный административный округ";"район Новокосино";"Новокосинская улица, дом 13, корпус 2";"upravanovokosino@mos.ru";"novokosino.mos.ru";"(495) 701-44-65";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"смешанное освещение";"газонное покрытие (искусственное)";"0";"бесплатно";"";"частично приспособлен";"общая физическая подготовка";"{coordinates=[37.853307362, 55.736418812], type=Point}";"{coordinates=[37.853307362, 55.736418812], type=Point}";
"2644394360";"Дворовая территория";"Универсальная спортивная площадка";"nested data";"Восточный административный округ";"район Новогиреево";"Федеративный проспект, дом 28";"pref-vao@mos.ru";"vao.mos.ru";"(499) 302-62-34";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"смешанное освещение";"специальное покрытие";"0";"бесплатно";"";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.811751798, 55.754737062], type=Point}";"{coordinates=[37.811751798, 55.754737062], type=Point}";
"2644394363";"Дворовая территория";"Универсальная спортивная площадка";"nested data";"Южный административный округ";"Донской район";"Донская улица, дом 24";"sodns@uao.mos.ru";"donskoy.mos.ru";"(495) 958-15-90";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.09-31.08";"nested data";"без дополнительного освещения";"заливное покрытие";"0";"бесплатно";"";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.603447339, 55.719018034], type=Point}";"{coordinates=[37.603447339, 55.719018034], type=Point}";
"2644394365";"Дворовая территория";"Площадка для игры в футбол";"nested data";"Южный административный округ";"Донской район";"Загородное шоссе, дом 4, корпус 3";"sodns@uao.mos.ru";"donskoy.mos.ru";"(495) 958-15-90";"";"nested data";"";"нет";"";"нет";"";"да";"нет";"нет";"нет";"нет";"нет";"нет";"01.09-31.08";"nested data";"освещение светодиодными лампами";"газонное покрытие (искусственное)";"50";"бесплатно";"";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.606450327, 55.695805718], type=Point}";"{coordinates=[37.606450327, 55.695805718], type=Point}";
"2644394368";"Дворовая территория";"Универсальная спортивная площадка";"nested data";"Южный административный округ";"Донской район";"Загородное шоссе, дом 11, корпус 2";"sodns@uao.mos.ru";"donskoy.mos.ru";"(495) 958-15-90";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.09-31.08";"nested data";"освещение газоразрядными лампами";"заливное покрытие";"0";"бесплатно";"";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.605045506, 55.69197911], type=Point}";"{coordinates=[37.605045506, 55.69197911], type=Point}";
"2644394370";"Дворовая территория";"Универсальная спортивная площадка";"nested data";"Южный административный округ";"Даниловский район";"улица Симоновский Вал, дом 24, корпус 2";"sodnl@mos.ru";"danilovsky.mos.ru";"(495) 952-00-11";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.09-31.08";"nested data";"освещение светодиодными лампами";"газонное покрытие (искусственное)";"0";"бесплатно";"";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.661389076, 55.719715833], type=Point}";"{coordinates=[37.661389076, 55.719715833], type=Point}";
"2644394371";"Дворовая территория";"Универсальная спортивная площадка";"nested data";"Южный административный округ";"Даниловский район";"улица Серпуховский Вал, дом 9";"sodnl@mos.ru";"danilovsky.mos.ru";"(495) 952-00-11";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.09-31.08";"nested data";"освещение газоразрядными лампами";"грунтовое покрытие";"0";"бесплатно";"";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.615514133, 55.710895815], type=Point}";"{coordinates=[37.615514133, 55.710895815], type=Point}";
"2644394372";"Дворовая территория";"Универсальная спортивная площадка";"nested data";"Южный административный округ";"Даниловский район";"Автозаводская улица, дом 6";"sodnl@mos.ru";"danilovsky.mos.ru";"(495) 952-00-11";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.09-31.08";"nested data";"освещение светодиодными лампами";"заливное покрытие";"0";"бесплатно";"";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.661052268, 55.709968681], type=Point}";"{coordinates=[37.661052268, 55.709968681], type=Point}";
"2644394373";"Дворовая территория";"Универсальная спортивная площадка";"nested data";"Южный административный округ";"Даниловский район";"Малая Тульская улица, дом 16";"sodnl@mos.ru";"danilovsky.mos.ru";"(495) 952-00-11";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.09-31.08";"nested data";"освещение газоразрядными лампами";"грунтовое покрытие";"0";"бесплатно";"";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.617662547, 55.707762706], type=Point}";"{coordinates=[37.617662547, 55.707762706], type=Point}";
"2644394375";"Дворовая территория";"Универсальная спортивная площадка";"nested data";"Южный административный округ";"Даниловский район";"Велозаводская улица, дом 6А";"sodnl@mos.ru";"danilovsky.mos.ru";"(495) 952-00-11";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.09-31.08";"nested data";"без дополнительного освещения";"заливное покрытие";"0";"бесплатно";"";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.663428025, 55.711534761], type=Point}";"{coordinates=[37.663428025, 55.711534761], type=Point}";
"2644394380";"Дворовая территория";"Универсальная спортивная площадка";"nested data";"Южный административный округ";"Даниловский район";"3-й Автозаводский проезд, дом 4";"sodnl@uao.mos.ru";"danilovsky.mos.ru";"(495) 952-00-11";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.09-31.08";"nested data";"освещение светодиодными лампами";"заливное покрытие";"0";"бесплатно";"";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.653991122, 55.706575441], type=Point}";"{coordinates=[37.653991122, 55.706575441], type=Point}";
"2644394382";"Дворовая территория";"Универсальная спортивная площадка";"nested data";"Восточный административный округ";"район Новогиреево";"Сапёрный проезд, дом 9";"pref-vao@mos.ru";"vao.mos.ru";"(495) 302-62-34";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"освещение газоразрядными лампами";"грунтовое покрытие";"0";"бесплатно";"";"частично приспособлен";"общая физическая подготовка";"{coordinates=[37.823618212, 55.756941005], type=Point}";"{coordinates=[37.823618212, 55.756941005], type=Point}";
"2644394383";"Дворовая территория";"Универсальная спортивная площадка";"nested data";"Южный административный округ";"Даниловский район";"1-й Павелецкий проезд, дом 1/42, корпус 2";"sodnl@uao.mos.ru";"danilovsky.mos.ru";"(495) 952-00-11";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.09-31.08";"nested data";"освещение светодиодными лампами";"газонное покрытие (искусственное)";"0";"бесплатно";"";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.644859221, 55.718434973], type=Point}";"{coordinates=[37.644859221, 55.718434973], type=Point}";
"2644394384";"Дворовая территория";"Универсальная спортивная площадка";"nested data";"Южный административный округ";"район Нагатинский Затон";"Судостроительная улица, дом 45";"sportzaton@mail.ru";"nagatinsky-zaton.mos.ru";"(499) 614-76-21";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.09-31.08";"nested data";"без дополнительного освещения";"грунтовое покрытие";"0";"бесплатно";"";"частично приспособлен";"общая физическая подготовка";"{coordinates=[37.690544442, 55.687189977], type=Point}";"{coordinates=[37.690544442, 55.687189977], type=Point}";
"2644394385";"Дворовая территория";"Универсальная спортивная площадка";"nested data";"Южный административный округ";"район Нагатинский Затон";"Судостроительная улица, дом 38, корпус 1";"sportzaton@mail.ru";"nagatinsky-zaton.mos.ru";"(499) 614-76-21";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.09-31.08";"nested data";"освещение светодиодными лампами";"заливное покрытие";"0";"бесплатно";"";"частично приспособлен";"общая физическая подготовка";"{coordinates=[37.689581831, 55.684304974], type=Point}";"{coordinates=[37.689581831, 55.684304974], type=Point}";
"2644394386";"Дворовая территория";"Универсальная спортивная площадка";"nested data";"Южный административный округ";"район Нагатинский Затон";"Затонная улица, дом 7, корпус 1";"sportzaton@mail.ru";"nagatinsky-zaton.mos.ru";"(499) 614-76-21";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"без дополнительного освещения";"грунтовое покрытие";"0";"бесплатно";"";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.685077794, 55.680001963], type=Point}";"{coordinates=[37.685077794, 55.680001963], type=Point}";
"2644394389";"Дворовая территория";"Универсальная спортивная площадка";"nested data";"Восточный административный округ";"район Измайлово";"5-я Парковая улица, дом 37";"uprava.izmaylovo@mail.ru";"izmaylowo.mos.ru";"(495) 652-07-31";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"без дополнительного освещения";"грунтовое покрытие";"0";"бесплатно";"";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.786927467, 55.799710007], type=Point}";"{coordinates=[37.786927467, 55.799710007], type=Point}";
"2644394390";"Дворовая территория";"Универсальная спортивная площадка";"nested data";"Восточный административный округ";"район Измайлово";"5-я Парковая улица, дом 25";"uprava.izmaylovo@mail.ru";"izmaylowo.mos.ru";"(495) 652-07-31";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"освещение светодиодными лампами";"заливное покрытие";"0";"бесплатно";"";"частично приспособлен";"общая физическая подготовка";"{coordinates=[37.787465524, 55.795490309], type=Point}";"{coordinates=[37.787465524, 55.795490309], type=Point}";
"2644394391";"Дворовая территория";"Универсальная спортивная площадка";"nested data";"Южный административный округ";"район Нагатинский Затон";"Затонная улица, дом 5, корпус 3";"sportzaton@mail.ru";"nagatinsky-zaton.mos.ru";"(499) 614-76-21";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"освещение светодиодными лампами";"грунтовое покрытие";"0";"бесплатно";"";"частично приспособлен";"общая физическая подготовка";"{coordinates=[37.684739145, 55.681788033], type=Point}";"{coordinates=[37.684739145, 55.681788033], type=Point}";
"2644394393";"Дворовая территория";"Универсальная спортивная площадка";"nested data";"Восточный административный округ";"район Измайлово";"3-я Парковая улица, дом 30";"uprava.izmaylovo@mail.ru";"izmaylowo.mos.ru";"(495) 652-07-31";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"освещение светодиодными лампами";"газонное покрытие (искусственное)";"0";"бесплатно";"";"частично приспособлен";"общая физическая подготовка";"{coordinates=[37.783759009, 55.798152195], type=Point}";"{coordinates=[37.783759009, 55.798152195], type=Point}";
"2644394394";"Дворовая территория";"Универсальная спортивная площадка";"nested data";"Восточный административный округ";"район Измайлово";"2-я Парковая улица, дом 16";"izmaylovo@vao.mos.ru";"izmaylowo.mos.ru";"(495) 652-07-31";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"без дополнительного освещения";"отсыпное покрытие";"0";"бесплатно";"";"частично приспособлен";"общая физическая подготовка";"{coordinates=[37.780883923, 55.791117194], type=Point}";"{coordinates=[37.780883923, 55.791117194], type=Point}";
"2644394395";"Дворовая территория";"Универсальная спортивная площадка";"nested data";"Восточный административный округ";"район Измайлово";"11-я Парковая улица, дом 37, корпус 1";"izmaylovo@vao.mos.ru";"izmaylowo.mos.ru";"(495) 652-07-31";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"освещение светодиодными лампами";"асфальтовое, бетонное покрытие";"0";"бесплатно";"";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.8041937, 55.801056917], type=Point}";"{coordinates=[37.8041937, 55.801056917], type=Point}";
"2644394396";"Дворовая территория";"Универсальная спортивная площадка";"nested data";"Восточный административный округ";"район Измайлово";"2-я Прядильная улица, дом 4";"uprava.izmaylovo@mail.ru";"izmaylowo.mos.ru";"(495) 652-07-31";"";"nested data";"";"да";"Футбольные ворота для игры в футбол ";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"освещение светодиодными лампами";"газонное покрытие (искусственное)";"0";"бесплатно";"";"частично приспособлен";"общая физическая подготовка";"{coordinates=[37.776358695, 55.79582449], type=Point}";"{coordinates=[37.776358695, 55.79582449], type=Point}";
"2644394400";"Дворовая территория";"Универсальная спортивная площадка";"nested data";"Восточный административный округ";"район Ивановское";"Челябинская улица, дом 19, корпус 1";"ivan@vao.mos.ru";"ivanovskoe.mos.ru";"(495) 918-98-44";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"смешанное освещение";"заливное покрытие";"0";"бесплатно";"";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.830016945, 55.779271668], type=Point}";"{coordinates=[37.830016945, 55.779271668], type=Point}";
"2644394401";"Дворовая территория";"Универсальная спортивная площадка";"nested data";"Восточный административный округ";"район Ивановское";"шоссе Энтузиастов, дом 94, корпус 4";"ivanovskoe@mos.ru";"ivanovskoe.mos.ru";"(495) 918-98-44";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"смешанное освещение";"асфальтовое, бетонное покрытие";"0";"бесплатно";"";"";"общая физическая подготовка";"{coordinates=[37.824380071, 55.769758931], type=Point}";"{coordinates=[37.824380071, 55.769758931], type=Point}";
"2644394402";"Дворовая территория";"Универсальная спортивная площадка";"nested data";"Восточный административный округ";"район Ивановское";"Саянская улица, дом 5, корпус 2";"ivanovskoe@mos.ru";"ivanovskoe.mos.ru";"(495) 918-98-44";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"смешанное освещение";"заливное покрытие";"0";"бесплатно";"";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.830542636, 55.769528142], type=Point}";"{coordinates=[37.830542636, 55.769528142], type=Point}";
"2644394404";"Дворовая территория";"Универсальная спортивная площадка";"nested data";"Восточный административный округ";"район Ивановское";"улица Молостовых, дом 9, корпус 2";"ivanovskoe@mos.ru";"ivanovskoe.mos.ru";"(495) 918-98-44";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"без дополнительного освещения";"заливное покрытие";"0";"бесплатно";"";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.834146474, 55.758475339], type=Point}";"{coordinates=[37.834146474, 55.758475339], type=Point}";
"2644394406";"Дворовая территория";"Универсальная спортивная площадка";"nested data";"Восточный административный округ";"район Ивановское";"Саянская улица, дом 14";"ivanovskoe@mos.ru";"ivanovskoe.mos.ru";"(495) 918-98-44";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"смешанное освещение";"заливное покрытие";"0";"бесплатно";"";"частично приспособлен";"общая физическая подготовка";"{coordinates=[37.830743177, 55.766540418], type=Point}";"{coordinates=[37.830743177, 55.766540418], type=Point}";
